日期,open,high,low,收盘,volume,amount,prevclose
2017-01-03,99.988,99.988,99.912,99.984,16475808,1647250188,
2017-01-04,99.984,99.986,99.981,99.983,8856002,885459914,
2017-01-05,99.984,99.995,99.983,99.994,12224933,1222360714,
2017-01-06,99.995,100.008,99.995,100.004,14206396,1420693573,
2017-01-09,99.989,99.998,99.988,99.997,7323941,732347474,
2017-01-10,99.995,100.003,99.993,100.002,7948007,794781441,
2017-01-11,100.0,100.001,99.996,100.0,8541348,854120275,
2017-01-12,99.995,100.0,99.995,99.998,7671299,767119986,
2017-01-13,99.998,100.046,99.998,100.007,9268176,926890899,
2017-01-16,99.996,99.998,99.99,99.993,11618734,1161827972,
2017-01-17,99.995,99.995,99.982,99.985,9752054,975060984,
2017-01-18,99.983,99.984,99.976,99.977,12446724,1244444831,
2017-01-19,99.978,99.978,99.955,99.959,2997752,299663114,
2017-01-20,99.983,100.0,99.983,99.997,20567111,2056636781,
2017-01-23,99.996,99.996,99.982,99.991,16938058,1693582539,
2017-01-24,99.988,100.999,99.987,100.003,10167095,1016682138,
2017-01-25,100.001,100.02,100.001,100.017,3438926,343940510,
2017-01-26,100.07,100.07,100.017,100.063,4957806,496017160,100.017
2017-02-03,100.014,100.014,100.0,100.0,5618771,561903994,
2017-02-06,100.0,100.0,99.99,99.996,12883214,1288234342,
2017-02-07,99.995,100.013,99.994,100.009,12029206,1202906315,
2017-02-08,100.006,100.011,100.004,100.008,8268125,826870018,
2017-02-09,100.01,100.01,100.0,100.009,10846496,1084690929,
2017-02-10,100.008,100.02,100.007,100.02,7962284,796336764,
2017-02-13,100.016,100.016,99.993,100.0,12631179,1263129281,
2017-02-14,99.997,99.999,99.992,99.994,9979219,997880618,
2017-02-15,99.994,99.997,99.992,99.997,8300956,830045548,
2017-02-16,99.996,99.997,99.994,99.997,14807316,1480659001,
2017-02-17,99.997,100.005,99.997,100.003,8814059,881418846,
2017-02-20,99.994,99.995,99.986,99.987,18647671,1864594916,
2017-02-21,99.987,99.988,99.982,99.987,11887391,1188547721,
2017-02-22,99.986,99.993,99.986,99.993,13197708,1319648721,
2017-02-23,99.991,99.996,99.991,99.996,12149268,1214851279,
2017-02-24,99.997,100.01,99.997,100.009,10117256,1011792092,
2017-02-27,100.001,100.001,99.99,99.996,12346834,1234613715,
2017-02-28,99.995,99.997,99.993,99.997,10397427,1039687651,
2017-03-01,99.996,100.0,99.995,99.998,14332964,1433259736,
2017-03-02,99.997,100.004,99.996,100.003,14599330,1459919806,
2017-03-03,100.004,100.02,100.004,100.019,10810262,1081120552,
2017-03-06,100.0,100.004,99.995,100.002,17412354,1741223518,
2017-03-07,100.002,100.005,100.001,100.004,16437750,1643822497,
2017-03-08,100.004,100.004,99.997,99.998,24398407,2439856830,
2017-03-09,99.998,100.001,99.994,99.996,19209722,1920934664,
2017-03-10,99.998,100.018,99.998,100.017,16129486,1613068477,
2017-03-13,100.001,100.006,99.999,100.005,21191412,2119158984,
2017-03-14,100.003,100.013,100.001,100.01,15198270,1519868289,
2017-03-15,100.005,100.006,99.999,100.0,17198313,1719891976,
2017-03-16,99.999,100.001,99.986,99.992,15025520,1502486769,
2017-03-17,99.992,99.998,99.983,99.99,23265947,2326437393,
2017-03-20,99.985,99.987,99.972,99.982,5570780,556960048,
2017-03-21,99.998,99.998,99.98,99.983,15750752,1574815193,
2017-03-22,99.982,99.997,99.982,99.996,17560479,1755960868,
2017-03-23,99.995,100.0,99.993,99.995,27305129,2730409637,
2017-03-24,99.997,100.008,99.997,100.006,16501362,1650220239,
2017-03-27,100.0,100.0,99.986,99.992,9743956,974292074,
2017-03-28,99.992,99.995,99.984,99.991,12152441,1215130102,
2017-03-29,99.99,99.99,99.964,99.969,19251271,1924794757,
2017-03-30,99.972,99.975,99.967,99.97,6616648,661475671,
2017-03-31,100.0,100.011,99.951,100.008,11755963,1175660057,
2017-04-05,99.979,99.995,99.979,99.993,18195690,1819394141,
