日期,open,high,low,收盘,volume,amount,prevclose
2017-01-03,99.984,99.988,99.56,99.981,1058632,105839789,
2017-01-04,99.98,99.987,99.98,99.987,1083925,108375541,
2017-01-05,99.984,99.996,99.983,99.99,1093523,109341121,
2017-01-06,99.999,100.014,99.999,100.008,1472225,147232793,
2017-01-09,100.0,100.004,99.99,100.003,512322,51232354,
2017-01-10,100.0,100.001,99.996,100.0,743388,74337609,
2017-01-11,99.999,100.003,99.997,100.001,800239,80024171,
2017-01-12,100.0,100.005,99.802,99.803,689334,68929551,
2017-01-13,100.0,100.006,100.0,100.003,740016,74004761,
2017-01-16,99.993,100.0,99.993,99.998,527806,52779714,
2017-01-17,99.995,99.995,99.98,99.985,604429,60432942,
2017-01-18,99.984,99.985,99.978,99.978,425004,42492851,
2017-01-19,99.975,99.975,99.8,99.834,486041,48579139,
2017-01-20,99.981,99.995,99.953,99.961,1055538,105543490,
2017-01-23,99.964,99.989,99.964,99.987,722447,72233938,
2017-01-24,99.984,100.001,99.984,100.001,497511,49747619,
2017-01-25,100.0,100.011,99.998,100.007,709445,70948187,
2017-01-26,100.03,100.057,100.03,100.037,568822,56902938,100.007
2017-02-03,100.0,100.003,99.987,99.988,418522,41852641,
2017-02-06,99.991,99.998,99.991,99.996,478035,47801067,
2017-02-07,99.994,100.002,99.993,100.002,607808,60778076,
2017-02-08,99.994,100.007,99.994,100.007,478272,47829119,
2017-02-09,100.004,100.008,100.004,100.007,430105,43013404,
2017-02-10,100.003,100.014,100.002,100.011,515404,51544522,
2017-02-13,99.985,100.0,99.985,99.999,448103,44809047,
2017-02-14,99.998,100.001,99.986,99.995,456213,45618812,
2017-02-15,99.998,99.998,99.99,99.992,247814,24779555,
2017-02-16,99.99,99.994,99.99,99.993,292058,29203817,
2017-02-17,100.01,100.01,99.998,100.003,444590,44460555,
2017-02-20,99.99,99.992,99.987,99.989,321051,32101343,
2017-02-21,99.992,99.992,99.977,99.985,343308,34325710,
2017-02-22,99.983,99.991,99.983,99.991,157709,15769316,
2017-02-23,99.991,99.999,99.991,99.998,286612,28659789,
2017-02-24,100.0,100.006,99.999,100.004,685519,68553456,
2017-02-27,99.999,99.999,99.992,99.994,394843,39481882,
2017-02-28,99.996,99.996,99.995,99.995,183112,18310463,
2017-03-01,99.994,99.997,99.994,99.996,391703,39168482,
2017-03-02,99.995,99.999,99.994,99.997,362210,36219738,
2017-03-03,100.0,100.009,99.998,100.008,520155,52017337,
2017-03-06,99.999,99.999,99.993,99.997,438205,43819094,
2017-03-07,99.997,100.001,99.997,99.999,356436,35643246,
2017-03-08,99.997,100.001,99.997,100.0,423375,42337831,
2017-03-09,99.992,100.001,99.992,100.0,303154,30315601,
2017-03-10,100.0,100.008,100.0,100.008,798842,79886156,
2017-03-13,99.994,100.0,99.99,99.997,408400,40839003,
2017-03-14,99.995,99.999,99.995,99.998,312815,31280869,
2017-03-15,99.998,99.999,99.996,99.998,454050,45403887,
2017-03-16,99.984,99.996,99.973,99.973,726428,72635091,
2017-03-17,99.976,99.985,99.97,99.983,135100,13507385,
2017-03-20,99.986,99.986,99.97,99.976,234701,23464336,
2017-03-21,99.974,99.997,99.967,99.972,1003022,100275112,
2017-03-22,99.972,99.986,99.971,99.983,638590,63847457,
2017-03-23,99.983,99.994,99.98,99.989,208902,20888022,
2017-03-24,99.992,100.001,99.992,99.998,359044,35903912,
2017-03-27,99.99,99.999,99.985,99.998,610393,61035122,
2017-03-28,99.995,99.999,99.991,99.996,383903,38388854,
2017-03-29,100.003,100.003,99.99,99.991,191202,19118924,
2017-03-30,99.96,99.991,99.96,99.988,183612,18357501,
2017-03-31,100.001,100.015,100.001,100.015,603312,60337257,
2017-04-05,100.012,100.012,99.994,100.003,269400,26939663,
2017-04-06,100.003,100.007,99.988,100.006,366502,36649133,
2017-04-07,100.0,100.025,100.0,100.013,651303,65135888,
2017-04-10,99.985,99.998,99.982,99.998,355840,35583140,
2017-04-11,99.996,100.007,99.996,100.005,413567,41358344,
2017-04-12,100.0,100.003,99.997,100.003,432856,43286276,
2017-04-13,100.002,100.004,99.972,100.001,407575,40757742,
2017-04-14,100.012,100.013,100.005,100.006,454623,45465402,
2017-04-17,100.003,100.003,99.983,100.001,390434,39041854,
2017-04-18,99.997,99.999,99.997,99.998,264102,26409614,
2017-04-19,99.999,99.999,99.993,99.997,220800,22079231,
2017-04-20,99.994,99.998,99.992,99.997,224700,22469059,
2017-04-21,99.997,100.0,99.997,100.0,254707,25470698,
2017-04-24,99.998,99.998,99.975,99.99,491946,49190367,
2017-04-25,99.987,99.991,99.981,99.991,383101,38304217,
2017-04-26,99.99,99.995,99.99,99.993,517087,51704673,
2017-04-27,99.993,99.993,99.987,99.991,425752,42571471,
2017-04-28,99.994,100.022,99.994,100.017,432508,43255219,
2017-05-02,100.003,100.003,99.99,99.996,473702,47367840,
2017-05-03,99.996,99.996,99.99,99.994,62600,6259705,
2017-05-04,99.996,99.997,99.994,99.996,249907,24989670,
2017-05-05,100.0,100.013,100.0,100.013,322602,32262920,
2017-05-08,99.998,100.0,99.996,99.998,101069,10106745,
2017-05-09,99.999,100.001,99.997,100.001,244302,24429764,
2017-05-10,100.001,100.001,99.996,99.998,193607,19360357,
2017-05-11,99.999,99.999,99.995,99.998,217701,21769495,
2017-05-12,99.998,100.013,99.998,100.013,209828,20983217,
2017-05-15,99.998,99.999,99.988,99.997,135904,13590103,
2017-05-16,99.999,99.999,99.998,99.998,85802,8580100,
2017-05-17,99.995,100.002,99.984,99.993,257487,25747364,
2017-05-18,99.995,99.996,99.995,99.995,101600,10159493,
2017-05-19,99.999,100.003,99.999,100.003,198352,19835395,
2017-05-22,100.0,100.0,99.994,99.997,356103,35608806,
2017-05-23,99.997,99.997,99.994,99.997,310501,31048916,
2017-05-24,99.997,99.998,99.995,99.996,197112,19710432,
2017-05-25,99.996,100.0,99.996,100.0,162905,16290325,
2017-05-26,100.01,100.019,100.01,100.019,234807,23483729,
2017-05-31,99.998,100.0,99.97,99.992,419801,41978250,
2017-06-01,99.995,99.999,99.982,99.99,356155,35611990,
2017-06-02,100.0,100.01,99.994,100.002,236004,23600491,
2017-06-05,99.996,99.996,99.981,99.984,1049788,104968632,
2017-06-06,99.987,99.992,99.987,99.992,332410,33237968,
2017-06-07,99.99,99.995,99.99,99.993,279388,27936549,
2017-06-08,99.99,99.993,99.985,99.989,542729,54267273,
2017-06-09,99.991,100.001,99.991,100.001,358170,35816027,
2017-06-12,99.992,99.996,99.992,99.996,192702,19269342,
2017-06-13,99.995,99.996,99.992,99.992,135230,13522047,
